
时间: 2017-8-17 16:4:45,系统库存: 0，库存变化: 0 
时间: 2017-8-17 16:55:6,系统库存: 0，库存变化: 0 
时间: 2017-8-17 16:55:41,系统库存: 0，库存变化: 0 
时间: 2017-8-17 16:56:17,系统库存: 0，库存变化: 0 
时间: 2017-8-17 16:56:52,系统库存: 0，库存变化: 0 
时间: 2017-8-17 16:57:27,系统库存: 0，库存变化: 0 
时间: 2017-8-17 16:58:2,系统库存: 0，库存变化: 0 
时间: 2017-8-17 16:58:37,系统库存: 0，库存变化: 0 
时间: 2017-8-17 16:59:12,系统库存: 0，库存变化: 0 
时间: 2017-8-17 16:59:47,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:0:22,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:0:57,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:1:32,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:2:7,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:2:42,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:3:17,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:3:52,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:4:27,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:5:2,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:5:37,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:6:12,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:6:47,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:7:22,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:7:57,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:8:32,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:9:7,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:9:42,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:10:17,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:10:53,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:11:28,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:12:3,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:12:38,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:13:13,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:13:48,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:14:23,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:14:58,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:15:33,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:16:8,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:16:43,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:17:18,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:17:53,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:18:28,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:19:3,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:19:38,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:20:13,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:20:48,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:21:23,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:21:58,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:22:33,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:23:8,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:23:43,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:24:18,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:24:54,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:25:29,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:26:4,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:26:39,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:27:14,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:27:49,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:28:24,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:28:59,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:29:34,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:30:9,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:30:44,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:31:19,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:31:54,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:32:29,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:33:4,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:33:39,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:34:14,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:34:49,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:35:24,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:35:59,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:36:34,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:37:9,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:37:44,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:38:19,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:38:55,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:39:30,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:40:5,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:40:40,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:41:15,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:41:50,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:42:25,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:43:0,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:43:35,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:44:10,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:44:45,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:45:20,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:45:55,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:46:30,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:47:5,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:47:40,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:48:15,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:48:50,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:49:25,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:50:0,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:50:35,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:51:10,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:51:45,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:52:20,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:52:56,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:53:31,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:54:6,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:54:41,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:55:16,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:55:51,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:56:26,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:57:1,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:57:36,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:58:11,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:58:46,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:59:21,系统库存: 0，库存变化: 0 
时间: 2017-8-17 17:59:56,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:0:31,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:1:6,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:1:41,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:2:16,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:2:51,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:3:26,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:4:1,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:4:36,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:5:11,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:5:46,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:6:21,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:6:57,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:7:32,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:8:7,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:8:42,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:9:17,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:9:52,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:10:27,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:11:2,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:11:37,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:12:12,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:12:47,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:13:22,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:13:57,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:14:32,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:15:7,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:15:42,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:16:17,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:16:52,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:17:27,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:18:2,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:18:37,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:19:12,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:19:47,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:20:22,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:20:58,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:21:33,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:22:8,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:22:43,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:23:18,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:23:53,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:24:28,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:25:3,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:25:38,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:26:13,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:26:48,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:27:23,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:27:58,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:28:33,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:29:8,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:29:43,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:30:18,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:30:53,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:31:28,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:32:3,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:32:38,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:33:13,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:33:48,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:34:23,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:34:59,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:35:34,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:36:9,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:36:44,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:37:19,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:37:54,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:38:29,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:39:4,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:39:39,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:40:14,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:40:49,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:41:24,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:41:59,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:42:34,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:43:9,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:43:44,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:44:19,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:44:54,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:45:29,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:46:4,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:46:39,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:47:14,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:47:49,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:48:25,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:49:0,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:49:35,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:50:10,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:50:45,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:51:20,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:51:55,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:52:30,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:53:5,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:53:40,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:54:15,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:54:50,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:55:25,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:56:0,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:56:35,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:57:10,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:57:45,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:58:20,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:58:55,系统库存: 0，库存变化: 0 
时间: 2017-8-17 18:59:30,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:0:5,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:0:40,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:1:15,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:1:50,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:2:25,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:3:1,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:3:36,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:4:11,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:4:46,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:5:21,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:5:56,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:6:31,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:7:6,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:7:41,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:8:16,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:8:51,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:9:26,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:10:1,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:10:36,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:11:11,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:11:46,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:12:21,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:12:56,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:13:31,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:14:6,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:14:41,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:15:16,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:15:51,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:16:27,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:17:2,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:17:37,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:18:12,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:18:47,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:19:22,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:19:57,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:20:32,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:21:7,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:21:42,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:22:17,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:22:52,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:23:27,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:24:2,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:24:37,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:25:12,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:25:47,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:26:22,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:26:57,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:27:32,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:28:7,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:28:42,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:29:17,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:29:52,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:30:27,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:31:3,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:31:38,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:32:13,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:32:48,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:33:23,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:33:58,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:34:33,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:35:8,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:35:43,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:36:18,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:36:53,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:37:28,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:38:3,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:38:38,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:39:13,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:39:48,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:40:23,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:40:58,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:41:33,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:42:8,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:42:43,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:43:18,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:43:53,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:44:29,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:45:4,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:45:39,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:46:14,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:46:49,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:47:24,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:47:59,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:48:34,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:49:9,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:49:44,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:50:19,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:50:54,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:51:29,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:52:4,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:52:39,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:53:14,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:53:49,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:54:24,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:54:59,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:55:34,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:56:9,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:56:44,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:57:19,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:57:54,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:58:30,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:59:5,系统库存: 0，库存变化: 0 
时间: 2017-8-17 19:59:40,系统库存: 0，库存变化: 0 
时间: 2017-8-17 20:0:15,系统库存: 0，库存变化: 0 
时间: 2017-8-17 20:0:50,系统库存: 0，库存变化: 0 
时间: 2017-8-17 20:1:25,系统库存: 0，库存变化: 0 
时间: 2017-8-17 20:2:0,系统库存: 0，库存变化: 0 
时间: 2017-8-17 20:2:35,系统库存: 0，库存变化: 0 
时间: 2017-8-17 20:3:10,系统库存: 0，库存变化: 0 
时间: 2017-8-17 20:3:45,系统库存: 0，库存变化: 0 
时间: 2017-8-17 20:4:20,系统库存: 0，库存变化: 0 
时间: 2017-8-17 20:4:55,系统库存: 0，库存变化: 0 
时间: 2017-8-17 20:5:30,系统库存: 0，库存变化: 0 
时间: 2017-8-17 20:6:5,系统库存: 0，库存变化: 0 
时间: 2017-8-17 20:6:40,系统库存: 0，库存变化: 0 
时间: 2017-8-17 20:7:15,系统库存: 0，库存变化: 0 
时间: 2017-8-17 20:7:50,系统库存: 0，库存变化: 0 
时间: 2017-8-17 20:8:25,系统库存: 0，库存变化: 0 
时间: 2017-8-17 20:9:0,系统库存: 0，库存变化: 0 
时间: 2017-8-17 20:9:35,系统库存: 0，库存变化: 0 
时间: 2017-8-17 20:10:10,系统库存: 0，库存变化: 0 
时间: 2017-8-17 20:10:45,系统库存: 0，库存变化: 0 
时间: 2017-8-17 20:11:20,系统库存: 0，库存变化: 0 
时间: 2017-8-17 20:11:55,系统库存: 0，库存变化: 0 
时间: 2017-8-17 20:12:31,系统库存: 0，库存变化: 0 
时间: 2017-8-17 20:13:6,系统库存: 0，库存变化: 0 
时间: 2017-8-17 20:13:41,系统库存: 0，库存变化: 0 
时间: 2017-8-17 20:14:16,系统库存: 0，库存变化: 0 
时间: 2017-8-17 20:14:51,系统库存: 0，库存变化: 0 
时间: 2017-8-17 20:15:26,系统库存: 0，库存变化: 0 
时间: 2017-8-17 20:16:1,系统库存: 0，库存变化: 0 
时间: 2017-8-17 20:16:36,系统库存: 0，库存变化: 0 
时间: 2017-8-17 20:17:11,系统库存: 0，库存变化: 0 
时间: 2017-8-17 20:17:46,系统库存: 0，库存变化: 0 
